Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246077,"71,146.44",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246078,"80,704.80",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246080,"78,854.04",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246081,"26,591.97",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246082,"35,161.32",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246083,"24,841.43",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246084,"23,397.29",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246085,"73,100.48",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246086,"67,168.05",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246087,"40,198.55",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246088,"38,982.38",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246089,"66,331.37",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246090,"62,733.60",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Accommodation Security Services,Estates,Mitie Limited,1900246092,"73,480.29",Accommodation Security Services,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,Project Development,CDIO - Core,EQUAL EXPERTS UK LTD,1900249736,"690,080.25",Project Development,AL1 5HE,,,,
HMRC,HMRC,02/08/2023,Outhousing seized goods,Individuals & Small Business Compliance,Wincanton Group PLC,1900249772,"704,085.28",Outhousing seized goods,SN14 0WT,,,,
HMRC,HMRC,02/08/2023,National postal EVAT,Operational Excellence & Output Mgmt,Royal Mail Group Ltd,5100023417,"-29,013.51",National postal EVAT,S49 1HQ,,,,
HMRC,HMRC,02/08/2023,Contin Labor Build,CDIO Transformation Programmes,EQUAL EXPERTS UK LTD,5100026168,"46,326.00",Contin Labor Build,AL1 5HE,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ATOS IT SERVICES UK LTD,5100026179,"181,520.50",IT Contractors,WC1V 6EA,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays HMRC,Knowledge Analysis & Intelligence,ATOS IT SERVICES UK LTD,5100026181,"60,171.68",Technical support and testing provided by ATOS Services LTD. This is for work done for KAI IT projects,WC1V 6EA,,,,
HMRC,HMRC,02/08/2023,Lifecycle Replace,Estates,SES (Engineering Services) Ltd,5100026193,"85,091.15",Lifecycle Replace,YO32 9LB,,,,
HMRC,HMRC,02/08/2023,Cons ad imp (Ir VAT),Transformation DG & Programme Office,ERNST & YOUNG LLP,5100026246,"1,034,718.96",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,02/08/2023,SW Lic Sup mngd Serv,CDIO - Core,BYTES SOFTWARE SERVICES LTD,5100026332,"111,078.31",SW Lic Sup mngd Serv,KT22 7TW,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,ATOS IT SERVICES UK LTD,5100026338,"40,790.61",eSSTTP - Test Activities April - May,WC1V 6EA,,,,
HMRC,HMRC,02/08/2023,Security guard ser.,Strat Planning Customer & Infrastructure,Mitie Limited,5100026344,"27,215.72",Inland Border Facility - Decommissioning Costs,SE1 9SG,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,ATOS IT SERVICES UK LTD,5100026345,"68,298.00",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,ATOS IT SERVICES UK LTD,5100026348,"27,791.50",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,02/08/2023,Facilities Mngmnt,Estates,Wates Property Services Ltd,5100026353,"58,458.63",Facilities Mngmnt,EN1 3XA,,,,
HMRC,HMRC,02/08/2023,Facilities Mngmnt,Estates,Wates Property Services Ltd,5100026353,"359,103.02",Facilities Mngmnt,EN1 3XA,,,,
HMRC,HMRC,02/08/2023,Accessibility Cons.,CDIO - Core,COMPUTACENTER (UK) LTD,5100026359,"36,195.56",Accessibility Cons.,AL10 9TW,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026362,"16,295.19",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026362,"146,656.69",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100026374,"34,995.76",IT Contractors,AL1 5HE,,,,
HMRC,HMRC,02/08/2023,Contin Labor Build,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100026378,"49,464.75",IT Contractors,AL1 5HE,,,,
HMRC,HMRC,02/08/2023,Consultancy � IT,CDIO Transformation Programmes,COGNIZANT,5100026388,"112,805.00",Consultancy � IT,W2 6BD,,,,
HMRC,HMRC,02/08/2023,Consultancy � IT,CDIO Transformation Programmes,COGNIZANT,5100026389,"71,696.00",Consultancy � IT,W2 6BD,,,,
HMRC,HMRC,02/08/2023,Contingent Labr-Adm,Commercial Directorate,CABINET OFFICE,5100026506,"237,768.00",Contingent Labr-Adm,FY1 9JN,,,,
HMRC,HMRC,02/08/2023,Research (VAT rec),Knowledge Analysis & Intelligence,NATIONAL CENTRE FOR SOCIAL RESEARCH,5100026566,"27,973.52",Research Services ,EC1V 0AX,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100026569,"14,902.92",IT Contractors,TF3 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,CAPGEMINI,5100026569,"44,708.77",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100026569,"104,320.46",IT Contractors,TF3 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100026569,"104,320.46",IT Contractors,TF3 3BD,,,,
HMRC,HMRC,02/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100026569,"104,320.46",IT Contractors,TF3 3BD,,,,
HMRC,HMRC,02/08/2023,National postal ZVAT,Operational Excellence & Output Mgmt,Royal Mail Group Ltd,5100026571,"3,767.47",National postal ZVAT,S49 1HQ,,,,
HMRC,HMRC,02/08/2023,National postal EVAT,Operational Excellence & Output Mgmt,Royal Mail Group Ltd,5100026571,"43,420.72",National postal EVAT,S49 1HQ,,,,
HMRC,HMRC,02/08/2023,Nat Pst Del Ser(VAT),Operational Excellence & Output Mgmt,Royal Mail Group Ltd,5100026571,"155,121.16",Nat Pst Del Ser(VAT),S49 1HQ,,,,
HMRC,HMRC,02/08/2023,Research (VAT rec),Knowledge Analysis & Intelligence,IFF RESEARCH LTD,5100026577,"32,928.00",Research Services ,EC3R 6HD,,,,
HMRC,HMRC,02/08/2023,SW Lic Sup Off shlf,CDIO - Core,CLEAR REVIEW LTD,5100026587,"54,540.00",SW Lic Sup Off shlf,SL3 9LL,,,,
HMRC,HMRC,02/08/2023,WAN maint or supp,CDIO - Core,BRITISH TELECOMMUNICATIONS PLC,5100026591,"316,864.19",WAN maint or supp,E1 8EE,,,,
HMRC,HMRC,02/08/2023,SW Lic Sup Off shlf,CDIO - Core,BYTES SOFTWARE SERVICES LTD,5100026615,"54,222.96",SW Lic Sup Off shlf,KT22 7TW,,,,
HMRC,HMRC,03/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900251986,"336,224.90",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/08/2023,Project Development,CDIO - Core,CAPGEMINI,1900251987,"26,502.58",Project Development,TF3 3BD,,,,
HMRC,HMRC,03/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900251988,"39,764.99",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900251998,"66,811.33",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,IT Software Licenses and Support,CDIO - Core,FUJITSU SERVICES LTD,1900252000,"1,165,591.24",IT Software Licenses and Support,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252001,"34,673.41",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252003,"49,171.92",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252024,"479,912.83",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252025,"244,284.39",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252027,"87,906.25",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252028,"55,900.88",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252029,"53,335.56",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Contracted Services,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,1900252037,"32,149.23",Contracted Services,LS15 8AH,,,,
HMRC,HMRC,03/08/2023,Legal Ser. (ZR VAT),CFO Transformation Programmes,GOVERNMENT PROPERTY AGENCY,5100026575,"56,700.00",Nottingham Regional Centre. Professional Services - Property Services. July 23,SW1H 0NN,,,,
HMRC,HMRC,03/08/2023,Recruitment services,Commercial Directorate,ODGERS BERNDTSON,5100026647,"23,000.00",Recruitment services,EC4M 6XD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,ATOS IT SERVICES UK LTD,5100026653,"42,493.58",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/08/2023,CS Government Recrut,CFO Shared Services,CABINET OFFICE,5100026654,"26,852.00",CS Government Recrut,FY1 9JN,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"6,675.30",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,ACCENTURE (UK) LTD,5100026657,"7,342.83",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"9,345.42",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"9,345.42",Safety & Security daily contractor costs (Q1),EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"16,020.72",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"34,044.04",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"35,379.09",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"36,046.62",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"36,046.63",Modernising Authorisations daily contractor costs (Q1),EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"44,056.99",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"53,402.41",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"60,077.71",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"75,430.90",Trader Data daily contractor costs (Q1),EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,ACCENTURE (UK) LTD,5100026657,"109,474.94",IT Contractors,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100026657,"134,841.08",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,03/08/2023,Soft Licen Integral,CDIO - Core,FUJITSU SERVICES LTD,5100026672,"2,408,410.29",Soft Licen Integral,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,CGI IT UK LTD,5100026674,"23,294.25",CGI Architect Contingent Labour,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,Desktop Managed Serv,CDIO - Core,BMC CABLE-TALK LIMTED,5100026675,"22,333.33",Desktop Managed Serv,DE21 4SY,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,CGI IT UK LTD,5100026677,"145,903.31",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,CGI IT UK LTD,5100026680,"24,403.50",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CDIO - Core,CGI IT UK LTD,5100026699,"420,580.73",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,CGI IT UK LTD,5100026700,"33,955.50",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,ATOS IT SERVICES UK LTD,5100026703,"25,342.31",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/08/2023,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100026707,-262.9,Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,03/08/2023,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100026707,"69,778.50",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,B&T Border Change Delivery,Automation Logic,5100026741,"131,392.80",PROJECT Mandays Supp,EC3V 1LP,,,,
HMRC,HMRC,03/08/2023,GovDept Serv(VAT Ex),CSG Transformation,NATIONAL SAVINGS & INVESTMENTS,5100026749,"1,497,974.36",GovDept Serv(VAT Ex),SW1V 2QX,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CDIO Transformation Programmes,FUJITSU SERVICES LTD,5100026916,"30,610.43",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,Document scanning,Transformation DG & Programme Office,RESTORE DIGITAL LTD,5100026917,"142,722.95",Document scanning,WV14 0UJ,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,COGNIZANT,5100026920,"32,920.62",IT Contractors,W2 6BD,,,,
HMRC,HMRC,03/08/2023,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100026923,"6,352.50",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,03/08/2023,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100026923,"39,022.50",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,03/08/2023,Rent (Irrec VAT),Estates,Workman Holding Account,5100026924,"442,587.00",Rent (Irrec VAT),EC2V 6EE,,,,
HMRC,HMRC,03/08/2023,Rent (Irrec VAT),Estates,Workman Holding Account,5100026924,"985,113.00",Rent (Irrec VAT),EC2V 6EE,,,,
HMRC,HMRC,03/08/2023,Training and tuition,Customs Policy and Strategy,ERNST & YOUNG LLP,5100026931,"49,390.00",Training and tuition,SE1 2AF,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,CGI IT UK LTD,5100026938,"39,711.15",IT Contractors,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,Prop. Man. (Ir VAT),Estates,Workman Holding Account,5100026947,"3,232.66",Landlord Service Charge,EC2V 6EE,,,,
HMRC,HMRC,03/08/2023,Prop. Man. (Ir VAT),Estates,Workman Holding Account,5100026947,"61,420.51",Landlord Service Charge,EC2V 6EE,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays HMRC,CDIO Transformation Programmes,FUJITSU SERVICES LTD,5100026950,"60,101.39",PROJECT Mandays HMRC,WA3 6GD,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100026966,"244,234.62",IT Contractors,AL1 5HE,,,,
HMRC,HMRC,03/08/2023,Project support,HMRC Security,FCDO SERVICES,5100026972,"82,560.00",Project support,MK19 7BH,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,CCG Transformation,CGI IT UK LTD,5100026983,"24,403.50",Contingent Labour Support,CF31 9AP,,,,
HMRC,HMRC,03/08/2023,PROJECT Mandays Supp,Transformation DG & Programme Office,ATOS IT SERVICES UK LTD,5100026985,"21,089.57",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,03/08/2023,Debt coll serv (DEL),Debt Management,TDX GROUP LTD,5100026994,"216,480.09",Debt coll serv (DEL),LS1 4AP,,,,
HMRC,HMRC,04/08/2023,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252099,"47,039.54",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900252111,"45,405.44",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Non-IT Contingent Labour,CDIO - Core,ALEXANDER MANN SOLUTIONS LTD,1900253867,"39,025.54",Non-IT Contingent Labour,EC2N 3AQ,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254301,"27,302.71",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254302,"54,346.19",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254303,"1,558,831.80",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254304,"149,230.13",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254306,"189,470.80",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254307,"586,242.36",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254308,"340,674.89",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254309,"355,540.83",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254312,"184,267.59",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254313,"28,800.36",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254314,"77,762.16",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254315,"31,976.61",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,System Maintenance,CDIO - Core,CAPGEMINI,1900254316,"32,014.91",System Maintenance,TF3 3BD,,,,
HMRC,HMRC,04/08/2023,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900254341,"40,033.17",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,Business Continuity & Disaster Recovery,CDIO - Core,FUJITSU SERVICES LTD,1900254342,"45,583.69",Business Continuity & Disaster Recovery,WA3 6GD,,,,
HMRC,HMRC,04/08/2023,SW Lic Sup mngd Serv,B&T Border Change Delivery,INTRASOFT INTERNATIONAL SA,5100020057,"568,965.51",SW Lic Sup mngd Serv,1253,,,,
HMRC,HMRC,04/08/2023,Debt coll serv (DEL),Debt Management,TDX GROUP LTD,5100026999,"93,184.17",Debt coll serv (DEL),LS1 4AP,,,,
HMRC,HMRC,04/08/2023,SW Lic Sup Off shlf,Solicitor's Office & Legal Services,FIVIUM LTD,5100027004,"140,964.30",Software License Fee,WC2N 6AH,,,,
HMRC,HMRC,04/08/2023,PROJECT Mandays Supp,Transformation Making Tax Digital,EQUAL EXPERTS UK LTD,5100027010,"21,559.12",PROJECT Mandays HMRC,AL1 5HE,,,,
HMRC,HMRC,04/08/2023,Contin Labor Build,PDC Customer Strategy & Tax Design,EQUAL EXPERTS UK LTD,5100027021,"47,325.86",Contin Labor Build,AL1 5HE,,,,
HMRC,HMRC,04/08/2023,Tax research,Transformation Making Tax Digital,KANTAR PUBLIC UK LTD,5100027032,"117,618.06",Tax research,SW1P 3JA,,,,
HMRC,HMRC,04/08/2023,Govt dept services,HR,ERNST & YOUNG LLP,5100027036,"66,000.00",Govt dept services,SE1 2AF,,,,
HMRC,HMRC,04/08/2023,PROJECT Mandays Supp,Programme and Operational Delivery,COGNIZANT,5100027067,"163,162.50",IT Contractors,W2 6BD,,,,
HMRC,HMRC,04/08/2023,Contin Labor Build,B&T Border Change Delivery,SPECIALIST COMPUTER CTR,5100027072,"814,762.71",Contin Labor Build,B11 2LE,,,,
HMRC,HMRC,04/08/2023,OHS,HR,People Asset Management Ltd,5100027075,"28,698.40",Occupational Health Services,WA1 1SL,,,,
HMRC,HMRC,04/08/2023,PROJECT Mandays HMRC,Government Banking and Payments,CAPGEMINI,5100027080,"25,445.12",PROJECT Mandays HMRC,TF3 3BD,,,,
